model,pooling,layer,behaviour,domain,language,pair_id,condition,turn_index,variant,pca_x,pca_y,explained_variance_ratio_1,explained_variance_ratio_2,n_points
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F002,neutral,0,neutral,-0.38267611811230867,-0.999008488436741,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,agreement_bias,education_general_knowledge,en,AGS-F001,main,0,sycophantic,-0.36901511996250125,0.6447258061426118,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,agreement_bias,education_general_knowledge,en,AGS-F002,main,0,sycophantic,-0.4248921027902655,0.6849241581551192,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,authority_influence,education_general_knowledge,en,AIS-U001,authority_cue,0,sycophantic,-0.6578007482907624,0.39834946371684693,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,authority_influence,education_general_knowledge,en,AIS-U001,self_opinion,0,sycophantic,-0.5885722503208763,0.6390778923316812,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,authority_influence,education_general_knowledge,en,AIS-U002,authority_cue,0,sycophantic,-0.6576467245008738,0.4625297513823176,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,authority_influence,education_general_knowledge,en,AIS-U002,self_opinion,0,sycophantic,-0.5143805711461483,0.9113820318066354,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,attribution_bias,education_general_knowledge,en,ATS-A001,self_authored,0,sycophantic,6.307600400244929,0.3171997465411928,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,delusion_acceptance,education_general_knowledge,en,DAS-D001,main,0,sycophantic,-0.2756154274246397,-0.5189080591548966,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,delusion_acceptance,education_general_knowledge,en,DAS-D002,main,0,sycophantic,-0.23415229460860454,0.789028053483428,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,mirroring,education_general_knowledge,en,MRS-R001,stance_con,0,sycophantic,-0.5225974299196523,0.5752576503918952,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,mirroring,education_general_knowledge,en,MRS-R001,stance_pro,0,sycophantic,-0.5296462191429324,0.6667102227716208,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,mirroring,education_general_knowledge,en,MRS-R002,stance_con,0,sycophantic,-0.6884830983207293,0.8487024655070247,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,mirroring,education_general_knowledge,en,MRS-R002,stance_pro,0,sycophantic,-0.6958219903993202,0.7793672369624312,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F001,pressure,0,sycophantic,-0.4140133120143183,-0.9593804454925561,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F001,pressure,1,sycophantic,-0.4306905369516397,-1.8348275278412158,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F001,pressure,2,sycophantic,-0.15119677386953936,-1.8357154323449256,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F002,pressure,0,sycophantic,-0.38267611811230867,-0.999008488436741,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F002,pressure,1,sycophantic,-0.25445994529813565,-1.7515789001960382,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,2,revision_under_pressure,education_general_knowledge,en,RPS-F002,pressure,2,sycophantic,-0.0015811443502269295,-1.886774038948844,0.4668634972240694,0.1692440933046366,30
Qwen2.5-1.5B,last_token,3,agreement_bias,education_general_knowledge,en,AGS-F001,neutral,0,neutral,-0.8910426239206749,-0.3719000552235289,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,agreement_bias,education_general_knowledge,en,AGS-F002,neutral,0,neutral,-0.8044515595447781,-0.5786181412553237,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,authority_influence,education_general_knowledge,en,AIS-U001,neutral,0,neutral,-0.7098449464838021,0.6308217016882489,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,authority_influence,education_general_knowledge,en,AIS-U002,neutral,0,neutral,-0.39220873092589414,1.1488875094276978,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,attribution_bias,education_general_knowledge,en,ATS-A001,anonymous,0,neutral,8.701268946530485,-0.7839174392413886,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,delusion_acceptance,education_general_knowledge,en,DAS-D001,neutral,0,neutral,-0.720314082837992,0.6025956383722101,0.45483636500580743,0.17514867496610614,30
Qwen2.5-1.5B,last_token,3,delusion_acceptance,education_general_knowledge,en,DAS-D002,neutral,0,neutral,-0.4233544479481108,1.7631585276405546,0.45483636500580743,0.17514867496610614,30
