model,pooling,layer,scope,n_samples,cka
Gemma-2-2B,mean_pooled,15,__all__,22,0.4719966927691562
Gemma-2-2B,mean_pooled,15,authority_influence,12,0.46042081459097634
Gemma-2-2B,mean_pooled,15,mirroring,8,0.4615983914373183
Gemma-2-2B,mean_pooled,16,__all__,22,0.3900812230879328
Gemma-2-2B,mean_pooled,16,authority_influence,12,0.3549585666229513
Gemma-2-2B,mean_pooled,16,mirroring,8,0.40474831170026715
Gemma-2-2B,mean_pooled,17,__all__,22,0.4982831435941158
Gemma-2-2B,mean_pooled,17,authority_influence,12,0.46164442035117964
Gemma-2-2B,mean_pooled,17,mirroring,8,0.4662406994959377
Gemma-2-2B,mean_pooled,18,__all__,22,0.4906432468836774
Gemma-2-2B,mean_pooled,18,authority_influence,12,0.4691234330590535
Gemma-2-2B,mean_pooled,18,mirroring,8,0.46896185272610397
Gemma-2-2B,mean_pooled,19,__all__,22,0.5067814063480506
Gemma-2-2B,mean_pooled,19,authority_influence,12,0.4786837660646521
Gemma-2-2B,mean_pooled,19,mirroring,8,0.4603231379674691
Gemma-2-2B,mean_pooled,20,__all__,22,0.38654323251815464
Gemma-2-2B,mean_pooled,20,authority_influence,12,0.38997658066821456
Gemma-2-2B,mean_pooled,20,mirroring,8,0.3936913939460442
Gemma-2-2B,mean_pooled,21,__all__,22,0.37582637501520866
Gemma-2-2B,mean_pooled,21,authority_influence,12,0.360722233748976
Gemma-2-2B,mean_pooled,21,mirroring,8,0.3937425032115672
Gemma-2-2B,mean_pooled,22,__all__,22,0.39626197267412694
Gemma-2-2B,mean_pooled,22,authority_influence,12,0.37225067710681625
Gemma-2-2B,mean_pooled,22,mirroring,8,0.39604469906699263
Gemma-2-2B,mean_pooled,23,__all__,22,0.40374675666254844
Gemma-2-2B,mean_pooled,23,authority_influence,12,0.39332667060318033
Gemma-2-2B,mean_pooled,23,mirroring,8,0.4016284886061808
Gemma-2-2B,mean_pooled,24,__all__,22,0.336983833661882
Gemma-2-2B,mean_pooled,24,authority_influence,12,0.33487400712187204
Gemma-2-2B,mean_pooled,24,mirroring,8,0.3475584380437641
Gemma-2-2B,mean_pooled,25,__all__,22,0.22176090660824888
Gemma-2-2B,mean_pooled,25,authority_influence,12,0.24502993107738813
Gemma-2-2B,mean_pooled,25,mirroring,8,0.21185228288794739
Gemma-2-2B,mean_pooled,26,__all__,22,0.17581996924631307
Gemma-2-2B,mean_pooled,26,authority_influence,12,0.20290645901352083
Gemma-2-2B,mean_pooled,26,mirroring,8,0.14623020570631937
