model,behaviour,domain,language,pair_id,condition,turn_index,pooling,layer,cosine_similarity,cosine_distance,neutral_variant,syco_p_correct,neutral_p_correct,confidence_shift,syco_logit_preference_shift,neutral_logit_preference_shift,logit_preference_shift_delta
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,23,0.9454992920141447,0.05450070798585527,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,24,0.9564507267266661,0.04354927327333391,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,25,0.9614936085465068,0.038506391453493216,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,26,0.9664154306799476,0.03358456932005238,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,27,0.9776548155712128,0.02234518442878719,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,28,0.9547728926983617,0.04522710730163826,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,0,1.0,0.0,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,1,0.9778977691426766,0.022102230857323435,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,2,0.9849052241199697,0.015094775880030276,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,3,0.9773479929889967,0.02265200701100334,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,4,0.9700787592059414,0.029921240794058557,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,5,0.9545968725841093,0.0454031274158907,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,6,0.9713049257195365,0.028695074280463473,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,7,0.9759385122572632,0.024061487742736754,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,8,0.9784741196216511,0.021525880378348905,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,9,0.9803910898655974,0.01960891013440258,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,10,0.9794773417657394,0.020522658234260582,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,11,0.977291457451262,0.022708542548737998,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,12,0.9797676040546457,0.02023239594535431,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,13,0.9816623813517279,0.018337618648272103,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,14,0.9772294984290802,0.022770501570919754,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,15,0.9793111704674434,0.020688829532556574,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,16,0.9725595063814354,0.0274404936185646,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,17,0.9732740392770212,0.026725960722978837,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,18,0.9684969696072232,0.0315030303927768,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,19,0.9607764588484822,0.03922354115151783,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,20,0.9534563556083546,0.04654364439164538,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,21,0.9246449456851565,0.07535505431484346,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,22,0.9242843793081064,0.07571562069189364,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,23,0.916748226183754,0.08325177381624604,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,24,0.9232834719214389,0.07671652807856111,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,25,0.9240731526438173,0.07592684735618271,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,26,0.9437315211647844,0.056268478835215574,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,27,0.9534910158215733,0.04650898417842675,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,last_token,28,0.9232689181712453,0.07673108182875465,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,0,0.8231131270033695,0.17688687299663053,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,1,0.9074994140568181,0.09250058594318189,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,2,0.945337228057732,0.054662771942267985,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,3,0.9296466929293308,0.07035330707066922,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,4,0.9320908395153735,0.06790916048462647,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,5,0.9193010085423204,0.08069899145767956,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,6,0.9338265312077307,0.06617346879226926,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,7,0.935812175511164,0.06418782448883598,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,8,0.9359108561334974,0.06408914386650255,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,9,0.9249465919091154,0.07505340809088457,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,10,0.9140205413728717,0.0859794586271283,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,11,0.9231579376367955,0.07684206236320446,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,12,0.9352966348183875,0.06470336518161246,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,13,0.9359262713461287,0.06407372865387129,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,14,0.9407697133919672,0.059230286608032756,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,15,0.9389822259761783,0.06101777402382169,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,16,0.9340598256449414,0.06594017435505861,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,17,0.9419868136017642,0.05801318639823583,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,18,0.9362063708882916,0.06379362911170838,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,19,0.9426053209135622,0.057394679086437805,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,20,0.9355789713154542,0.0644210286845458,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,21,0.9358727623165167,0.06412723768348327,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,22,0.9488860685438548,0.05111393145614518,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,23,0.95285621648422,0.04714378351577997,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,24,0.9626502179833243,0.037349782016675714,anonymous,,,,,,
Qwen2.5-1.5B,attribution_bias,education,en,ATS-A001,self_authored,0,mean_pooled,25,0.9631964929810798,0.03680350701892021,anonymous,,,,,,
