model,pooling,layer,behaviour_a,behaviour_b,cosine,n_pairs_a,n_pairs_b,low_n
Gemma-2-2B,mean_pooled,15,authority_influence,mirroring,-0.14819404050809842,12,8,False
Gemma-2-2B,mean_pooled,15,delusion_acceptance,mirroring,0.10328904578581695,2,8,True
Gemma-2-2B,mean_pooled,16,authority_influence,delusion_acceptance,0.06894863203441867,12,2,True
Gemma-2-2B,mean_pooled,16,authority_influence,mirroring,-0.19724642699119513,12,8,False
Gemma-2-2B,mean_pooled,16,delusion_acceptance,mirroring,0.19005151998357966,2,8,True
Gemma-2-2B,mean_pooled,17,authority_influence,delusion_acceptance,0.06323932162039875,12,2,True
Gemma-2-2B,mean_pooled,17,authority_influence,mirroring,-0.08539745649551972,12,8,False
Gemma-2-2B,mean_pooled,17,delusion_acceptance,mirroring,0.16089156646956593,2,8,True
Gemma-2-2B,mean_pooled,18,authority_influence,delusion_acceptance,0.04178547871908751,12,2,True
Gemma-2-2B,mean_pooled,18,authority_influence,mirroring,-0.12941602958755624,12,8,False
Gemma-2-2B,mean_pooled,18,delusion_acceptance,mirroring,0.11973123168015525,2,8,True
Gemma-2-2B,mean_pooled,19,authority_influence,delusion_acceptance,0.02496309678539225,12,2,True
Gemma-2-2B,mean_pooled,19,authority_influence,mirroring,-0.1406612747784825,12,8,False
Gemma-2-2B,mean_pooled,19,delusion_acceptance,mirroring,0.15452161723966146,2,8,True
Gemma-2-2B,mean_pooled,20,authority_influence,delusion_acceptance,0.030789925056436237,12,2,True
Gemma-2-2B,mean_pooled,20,authority_influence,mirroring,-0.13347242286251892,12,8,False
Gemma-2-2B,mean_pooled,20,delusion_acceptance,mirroring,0.12339056705272208,2,8,True
Gemma-2-2B,mean_pooled,21,authority_influence,delusion_acceptance,0.031334783774774284,12,2,True
Gemma-2-2B,mean_pooled,21,authority_influence,mirroring,-0.10288028838630296,12,8,False
Gemma-2-2B,mean_pooled,21,delusion_acceptance,mirroring,0.11257606020814306,2,8,True
Gemma-2-2B,mean_pooled,22,authority_influence,delusion_acceptance,0.004410884900416862,12,2,True
Gemma-2-2B,mean_pooled,22,authority_influence,mirroring,-0.1275558203439195,12,8,False
Gemma-2-2B,mean_pooled,22,delusion_acceptance,mirroring,0.13339481923421762,2,8,True
Gemma-2-2B,mean_pooled,23,authority_influence,delusion_acceptance,0.025679981712722306,12,2,True
Gemma-2-2B,mean_pooled,23,authority_influence,mirroring,-0.08391471875929866,12,8,False
Gemma-2-2B,mean_pooled,23,delusion_acceptance,mirroring,0.1427095127448857,2,8,True
Gemma-2-2B,mean_pooled,24,authority_influence,delusion_acceptance,0.021324021718164138,12,2,True
Gemma-2-2B,mean_pooled,24,authority_influence,mirroring,-0.06559038542716165,12,8,False
Gemma-2-2B,mean_pooled,24,delusion_acceptance,mirroring,0.12986532403621653,2,8,True
Gemma-2-2B,mean_pooled,25,authority_influence,delusion_acceptance,0.035907941951276674,12,2,True
Gemma-2-2B,mean_pooled,25,authority_influence,mirroring,-0.05384756541331151,12,8,False
Gemma-2-2B,mean_pooled,25,delusion_acceptance,mirroring,0.19182646820350627,2,8,True
Gemma-2-2B,mean_pooled,26,authority_influence,delusion_acceptance,0.06851123673913659,12,2,True
Gemma-2-2B,mean_pooled,26,authority_influence,mirroring,0.051111616541357485,12,8,False
Gemma-2-2B,mean_pooled,26,delusion_acceptance,mirroring,0.10445639925513965,2,8,True
