model,behaviour,domain,language,pooling,layer,mean_cosine_distance,mean_cosine_similarity,n_pairs
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,14,0.06454137306909757,0.9354586269309024,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,15,0.06719323422876644,0.9328067657712336,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,16,0.06405890005320092,0.9359410999467991,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,17,0.05828457573881585,0.9417154242611842,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,18,0.06334179615627311,0.9366582038437269,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,19,0.05958907889302334,0.9404109211069767,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,20,0.06423980554423503,0.935760194455765,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,21,0.0627241992855182,0.9372758007144818,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,22,0.053483750712813194,0.9465162492871868,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,23,0.050300371391015064,0.9496996286089849,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,24,0.03955317628316557,0.9604468237168344,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,25,0.03782695834027472,0.9621730416597253,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,26,0.029670775748081968,0.970329224251918,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,27,0.019876178699663072,0.9801238213003369,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,28,0.030432325197300547,0.9695676748026995,1
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,0,0.0,1.0,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,1,0.0022147278817102878,0.9977852721182897,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,2,0.004133263221989897,0.9958667367780101,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,3,0.010293455862740303,0.9897065441372597,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,4,0.01313539963307564,0.9868646003669244,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,5,0.0121288730444305,0.9878711269555696,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,6,0.014032519499305979,0.985967480500694,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,7,0.012730682771134011,0.987269317228866,4
