model,pair_id,domain,language,pooling,layer,turn_index,step_cosine_similarity,step_cosine_distance,cumulative_drift,cosine_distance_from_neutral
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,7,1,0.9185183743470906,0.0814816256529094,0.0814816256529094,0.0814816256529094
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,7,2,0.9418213662327989,0.058178633767201116,0.1396602594201105,0.0660127976464539
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,8,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,8,1,0.9174837930593676,0.08251620694063244,0.08251620694063244,0.0825162069406324
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,8,2,0.9394089863366109,0.06059101366338915,0.1431072206040216,0.0658826490698691
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,9,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,9,1,0.9139635974442554,0.08603640255574463,0.08603640255574463,0.0860364025557446
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,9,2,0.937660734563717,0.06233926543628299,0.14837566799202762,0.0678002983346739
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,10,0,,,0.0,1.1102230246251563e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,10,1,0.9078241042036475,0.09217589579635255,0.09217589579635255,0.0921758957963525
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,10,2,0.9284656358283019,0.07153436417169812,0.16371025996805066,0.0715572369708298
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,11,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,11,1,0.9122603174800463,0.08773968251995368,0.08773968251995368,0.0877396825199536
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,11,2,0.9253227475181769,0.07467725248182311,0.16241693500177679,0.0700902989429758
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,12,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,12,1,0.9221209051696894,0.07787909483031064,0.07787909483031064,0.0778790948303106
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,12,2,0.931556094309261,0.068443905690739,0.14632300052104963,0.0645042110113693
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,13,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,13,1,0.9267729368413823,0.07322706315861771,0.07322706315861771,0.0732270631586177
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,13,2,0.9349392777138338,0.06506072228616622,0.13828778544478393,0.0605334349632937
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,14,0,,,0.0,1.1102230246251563e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,14,1,0.9266786251078083,0.0733213748921917,0.0733213748921917,0.0733213748921917
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,14,2,0.9329313249016606,0.06706867509833936,0.14039004999053106,0.0604328476126477
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,15,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,15,1,0.9217332947053992,0.07826670529460078,0.07826670529460078,0.0782667052946007
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,15,2,0.9266963939267773,0.07330360607322273,0.1515703113678235,0.0661390829014865
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,16,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,16,1,0.9228864163406213,0.0771135836593787,0.0771135836593787,0.0771135836593787
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,16,2,0.9310142438987826,0.06898575610121738,0.14609933976059608,0.0634717762546721
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,17,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,17,1,0.9246283562341705,0.0753716437658295,0.0753716437658295,0.0753716437658295
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,17,2,0.9368492133583306,0.0631507866416694,0.1385224304074989,0.0634990224604766
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,18,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,18,1,0.9211480099170942,0.07885199008290578,0.07885199008290578,0.0788519900829057
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,18,2,0.9359199783420825,0.06408002165791749,0.14293201174082326,0.0659298712247349
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,19,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,19,1,0.920826053105862,0.07917394689413804,0.07917394689413804,0.079173946894138
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,19,2,0.9372120469819886,0.06278795301801143,0.14196189991214947,0.0679959153144972
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,20,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,20,1,0.9124772974711425,0.08752270252885752,0.08752270252885752,0.0875227025288575
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,20,2,0.923600875995146,0.07639912400485405,0.16392182653371157,0.0766478185453701
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,21,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,21,1,0.916770771724803,0.08322922827519696,0.08322922827519696,0.0832292282751969
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,21,2,0.92818094331524,0.07181905668475996,0.15504828495995693,0.0715866153675559
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,22,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,22,1,0.9344276050780961,0.06557239492190392,0.06557239492190392,0.0655723949219039
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,22,2,0.9476091843638424,0.05239081563615755,0.11796321055806147,0.0563662244148337
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,23,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,23,1,0.9423333546936266,0.05766664530637344,0.05766664530637344,0.0576666453063734
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,23,2,0.9503416065358474,0.04965839346415257,0.10732503877052602,0.0513115520903371
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,24,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,24,1,0.9562281306375806,0.04377186936241939,0.04377186936241939,0.0437718693624193
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,24,2,0.9615138834857804,0.038486116514219626,0.08225798587663902,0.0392963243393116
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,25,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,25,1,0.9630059178874903,0.03699408211250965,0.03699408211250965,0.0369940821125096
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,25,2,0.9674652328592656,0.032534767140734444,0.0695288492532441,0.0343411597574603
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,26,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,26,1,0.9690323369931853,0.03096766300681475,0.03096766300681475,0.0309676630068147
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,26,2,0.9724680115802224,0.027531988419777553,0.0584996514265923,0.0305207027722302
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,27,0,,,0.0,1.1102230246251563e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,27,1,0.9794473415857868,0.020552658414213165,0.020552658414213165,0.0205526584142131
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,27,2,0.9816723599715195,0.01832764002848053,0.038880298442693695,0.0211927938648585
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,28,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,28,1,0.955707946041718,0.04429205395828195,0.04429205395828195,0.0442920539582819
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,28,2,0.9629690779272163,0.03703092207278369,0.08132297603106564,0.0388905956280462
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,0,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,0,1,1.0,0.0,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,0,2,1.0,0.0,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,1,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,1,1,0.9969343558716829,0.003065644128317113,0.003065644128317113,0.0030656441283171
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,1,2,0.9981718519975821,0.0018281480024179286,0.004893792130735042,0.0059235527971326
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,2,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,2,1,0.9908407996409384,0.009159200359061592,0.009159200359061592,0.0091592003590615
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,2,2,0.9956745881002077,0.0043254118997922975,0.01348461225885389,0.0146151360092083
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,3,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,3,1,0.9856876110143268,0.014312388985673219,0.014312388985673219,0.0143123889856732
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,3,2,0.9943002410296888,0.005699758970311164,0.020012147955984383,0.0223692443864709
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,4,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,4,1,0.9706936389098195,0.029306361090180477,0.029306361090180477,0.0293063610901804
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,4,2,0.98996301685004,0.010036983149960044,0.03934334424014052,0.0456227113661218
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,5,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,5,1,0.9627928913825539,0.03720710861744614,0.03720710861744614,0.0372071086174461
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,5,2,0.9862063695826275,0.013793630417372471,0.05100073903481861,0.057768182059783
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,6,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,6,1,0.973112653281143,0.026887346718856953,0.026887346718856953,0.0268873467188569
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,6,2,0.9875817006000593,0.012418299399940658,0.03930564611879761,0.0463538749542583
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,7,0,,,0.0,2.220446049250313e-16
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,7,1,0.9725547967946255,0.02744520320537447,0.02744520320537447,0.0274452032053744
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,7,2,0.99006859636053,0.009931403639469982,0.03737660684484445,0.0431239237450614
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,8,0,,,0.0,2.220446049250313e-16
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,8,1,0.9646647306189033,0.03533526938109666,0.03533526938109666,0.0353352693810966
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,8,2,0.9873072985835732,0.012692701416426755,0.04802797079752341,0.054007083780446
Qwen2.5-1.5B,RPS-F002,education_general_knowledge,en,last_token,9,0,,,0.0,2.220446049250313e-16
