model,behaviour,pooling,layer,n_pairs,direction_norm
Qwen2.5-1.5B,agreement_bias,mean_pooled,23,2,36.03967378243361
Qwen2.5-1.5B,agreement_bias,mean_pooled,24,2,41.32904663872878
Qwen2.5-1.5B,agreement_bias,mean_pooled,25,2,46.58249124014604
Qwen2.5-1.5B,agreement_bias,mean_pooled,26,2,52.884619977594596
Qwen2.5-1.5B,agreement_bias,mean_pooled,27,2,56.19200587827137
Qwen2.5-1.5B,agreement_bias,mean_pooled,28,2,59.31850477773327
Qwen2.5-1.5B,attribution_bias,last_token,0,1,0.0
Qwen2.5-1.5B,attribution_bias,last_token,1,1,0.3973226788708102
Qwen2.5-1.5B,attribution_bias,last_token,2,1,0.9859113905529658
Qwen2.5-1.5B,attribution_bias,last_token,3,1,2.1489509622245486
Qwen2.5-1.5B,attribution_bias,last_token,4,1,3.7961583228945437
Qwen2.5-1.5B,attribution_bias,last_token,5,1,8.163256670169128
Qwen2.5-1.5B,attribution_bias,last_token,6,1,10.257723686410849
Qwen2.5-1.5B,attribution_bias,last_token,7,1,9.797980697320186
Qwen2.5-1.5B,attribution_bias,last_token,8,1,9.193484151388368
Qwen2.5-1.5B,attribution_bias,last_token,9,1,8.087742243746685
Qwen2.5-1.5B,attribution_bias,last_token,10,1,7.954162284016284
Qwen2.5-1.5B,attribution_bias,last_token,11,1,8.14654038999917
Qwen2.5-1.5B,attribution_bias,last_token,12,1,7.892786021544126
Qwen2.5-1.5B,attribution_bias,last_token,13,1,7.807517887249697
Qwen2.5-1.5B,attribution_bias,last_token,14,1,8.773105480503647
Qwen2.5-1.5B,attribution_bias,last_token,15,1,9.254794111607644
Qwen2.5-1.5B,attribution_bias,last_token,16,1,10.660112819546068
Qwen2.5-1.5B,attribution_bias,last_token,17,1,12.140135292632397
Qwen2.5-1.5B,attribution_bias,last_token,18,1,13.177065744287454
Qwen2.5-1.5B,attribution_bias,last_token,19,1,14.76394370992495
Qwen2.5-1.5B,attribution_bias,last_token,20,1,17.47399837148776
Qwen2.5-1.5B,attribution_bias,last_token,21,1,25.92608156771345
Qwen2.5-1.5B,attribution_bias,last_token,22,1,31.757496691421036
Qwen2.5-1.5B,attribution_bias,last_token,23,1,38.871699020237585
Qwen2.5-1.5B,attribution_bias,last_token,24,1,44.720247125610705
Qwen2.5-1.5B,attribution_bias,last_token,25,1,51.29283062960653
Qwen2.5-1.5B,attribution_bias,last_token,26,1,55.85906603214602
Qwen2.5-1.5B,attribution_bias,last_token,27,1,63.99359117420666
Qwen2.5-1.5B,attribution_bias,last_token,28,1,60.600855862741405
Qwen2.5-1.5B,attribution_bias,mean_pooled,0,1,0.1954062017532895
Qwen2.5-1.5B,attribution_bias,mean_pooled,1,1,4.476882721670048
Qwen2.5-1.5B,attribution_bias,mean_pooled,2,1,5.480360550032934
Qwen2.5-1.5B,attribution_bias,mean_pooled,3,1,7.316310231554951
Qwen2.5-1.5B,attribution_bias,mean_pooled,4,1,8.535169037852661
Qwen2.5-1.5B,attribution_bias,mean_pooled,5,1,9.597574030027346
Qwen2.5-1.5B,attribution_bias,mean_pooled,6,1,9.13831488051589
Qwen2.5-1.5B,attribution_bias,mean_pooled,7,1,9.841814256874182
Qwen2.5-1.5B,attribution_bias,mean_pooled,8,1,10.4342307441526
Qwen2.5-1.5B,attribution_bias,mean_pooled,9,1,11.400407258257543
Qwen2.5-1.5B,attribution_bias,mean_pooled,10,1,12.480472921696922
Qwen2.5-1.5B,attribution_bias,mean_pooled,11,1,12.66735780601625
Qwen2.5-1.5B,attribution_bias,mean_pooled,12,1,13.419639086113587
Qwen2.5-1.5B,attribution_bias,mean_pooled,13,1,13.39076978619054
Qwen2.5-1.5B,attribution_bias,mean_pooled,14,1,13.935870481103406
Qwen2.5-1.5B,attribution_bias,mean_pooled,15,1,13.802390858020354
Qwen2.5-1.5B,attribution_bias,mean_pooled,16,1,14.322859534468941
Qwen2.5-1.5B,attribution_bias,mean_pooled,17,1,15.269101750721958
Qwen2.5-1.5B,attribution_bias,mean_pooled,18,1,16.635499598004767
Qwen2.5-1.5B,attribution_bias,mean_pooled,19,1,18.00652261917379
Qwen2.5-1.5B,attribution_bias,mean_pooled,20,1,20.731926713525187
Qwen2.5-1.5B,attribution_bias,mean_pooled,21,1,23.441126691714956
Qwen2.5-1.5B,attribution_bias,mean_pooled,22,1,29.065281528266453
Qwen2.5-1.5B,attribution_bias,mean_pooled,23,1,33.319770103921115
Qwen2.5-1.5B,attribution_bias,mean_pooled,24,1,36.686726067944605
Qwen2.5-1.5B,attribution_bias,mean_pooled,25,1,43.46176362829744
Qwen2.5-1.5B,attribution_bias,mean_pooled,26,1,46.706562678704735
Qwen2.5-1.5B,attribution_bias,mean_pooled,27,1,48.48641170369705
Qwen2.5-1.5B,attribution_bias,mean_pooled,28,1,40.19630864884094
Qwen2.5-1.5B,authority_influence,last_token,0,4,0.0
Qwen2.5-1.5B,authority_influence,last_token,1,4,0.6564216636866267
Qwen2.5-1.5B,authority_influence,last_token,2,4,1.207186271037265
Qwen2.5-1.5B,authority_influence,last_token,3,4,2.4556500057700124
Qwen2.5-1.5B,authority_influence,last_token,4,4,3.3742490977695248
Qwen2.5-1.5B,authority_influence,last_token,5,4,3.6438814317572277
Qwen2.5-1.5B,authority_influence,last_token,6,4,5.217487547381656
Qwen2.5-1.5B,authority_influence,last_token,7,4,4.801828269338969
Qwen2.5-1.5B,authority_influence,last_token,8,4,5.082265991151102
Qwen2.5-1.5B,authority_influence,last_token,9,4,4.923630920894533
Qwen2.5-1.5B,authority_influence,last_token,10,4,5.1866535489756425
Qwen2.5-1.5B,authority_influence,last_token,11,4,5.733367640828289
Qwen2.5-1.5B,authority_influence,last_token,12,4,5.2860764873019095
Qwen2.5-1.5B,authority_influence,last_token,13,4,5.28343124591239
Qwen2.5-1.5B,authority_influence,last_token,14,4,6.069755588081705
Qwen2.5-1.5B,authority_influence,last_token,15,4,6.2546236464307015
Qwen2.5-1.5B,authority_influence,last_token,16,4,6.920668580973287
Qwen2.5-1.5B,authority_influence,last_token,17,4,9.175926117712015
Qwen2.5-1.5B,authority_influence,last_token,18,4,11.24520658892969
Qwen2.5-1.5B,authority_influence,last_token,19,4,12.504108078252308
Qwen2.5-1.5B,authority_influence,last_token,20,4,13.751070200271796
Qwen2.5-1.5B,authority_influence,last_token,21,4,23.149244601449155
Qwen2.5-1.5B,authority_influence,last_token,22,4,29.475026365988597
Qwen2.5-1.5B,authority_influence,last_token,23,4,33.4459912949861
Qwen2.5-1.5B,authority_influence,last_token,24,4,35.886474890458636
Qwen2.5-1.5B,authority_influence,last_token,25,4,40.89448702606247
Qwen2.5-1.5B,authority_influence,last_token,26,4,44.64133995684538
Qwen2.5-1.5B,authority_influence,last_token,27,4,49.15641568697946
Qwen2.5-1.5B,authority_influence,last_token,28,4,42.294314122353974
Qwen2.5-1.5B,authority_influence,mean_pooled,0,4,0.13673382359093578
Qwen2.5-1.5B,authority_influence,mean_pooled,1,4,2.9426919761101185
Qwen2.5-1.5B,authority_influence,mean_pooled,2,4,3.8534316378768407
Qwen2.5-1.5B,authority_influence,mean_pooled,3,4,5.578712042001768
Qwen2.5-1.5B,authority_influence,mean_pooled,4,4,6.728897992408
Qwen2.5-1.5B,authority_influence,mean_pooled,5,4,7.832562135006644
Qwen2.5-1.5B,authority_influence,mean_pooled,6,4,8.153221201340061
Qwen2.5-1.5B,authority_influence,mean_pooled,7,4,8.705101798743536
Qwen2.5-1.5B,authority_influence,mean_pooled,8,4,9.578583415688712
Qwen2.5-1.5B,authority_influence,mean_pooled,9,4,10.665792308582382
Qwen2.5-1.5B,authority_influence,mean_pooled,10,4,12.071261589987209
Qwen2.5-1.5B,authority_influence,mean_pooled,11,4,12.426242917295486
Qwen2.5-1.5B,authority_influence,mean_pooled,12,4,13.086595137959748
Qwen2.5-1.5B,authority_influence,mean_pooled,13,4,13.335272553694054
Qwen2.5-1.5B,authority_influence,mean_pooled,14,4,14.43611355772053
Qwen2.5-1.5B,authority_influence,mean_pooled,15,4,14.15831641194638
Qwen2.5-1.5B,authority_influence,mean_pooled,16,4,14.586368300733747
Qwen2.5-1.5B,authority_influence,mean_pooled,17,4,15.680838360844623
Qwen2.5-1.5B,authority_influence,mean_pooled,18,4,17.153526082539678
Qwen2.5-1.5B,authority_influence,mean_pooled,19,4,18.656859553278448
Qwen2.5-1.5B,authority_influence,mean_pooled,20,4,20.49982721190114
Qwen2.5-1.5B,authority_influence,mean_pooled,21,4,23.099549303454662
Qwen2.5-1.5B,authority_influence,mean_pooled,22,4,27.236069754449304
Qwen2.5-1.5B,authority_influence,mean_pooled,23,4,31.138509328271233
Qwen2.5-1.5B,authority_influence,mean_pooled,24,4,34.79394881816736
Qwen2.5-1.5B,authority_influence,mean_pooled,25,4,41.003667028314126
Qwen2.5-1.5B,authority_influence,mean_pooled,26,4,43.9611803043198
Qwen2.5-1.5B,authority_influence,mean_pooled,27,4,46.27742936948448
Qwen2.5-1.5B,authority_influence,mean_pooled,28,4,36.454765088623375
Qwen2.5-1.5B,delusion_acceptance,last_token,0,2,0.0
Qwen2.5-1.5B,delusion_acceptance,last_token,1,2,1.6212168419891344
Qwen2.5-1.5B,delusion_acceptance,last_token,2,2,2.45384882619122
Qwen2.5-1.5B,delusion_acceptance,last_token,3,2,3.4702007629943985
Qwen2.5-1.5B,delusion_acceptance,last_token,4,2,6.3133041516931
Qwen2.5-1.5B,delusion_acceptance,last_token,5,2,6.8707417848399785
Qwen2.5-1.5B,delusion_acceptance,last_token,6,2,7.826674263011567
Qwen2.5-1.5B,delusion_acceptance,last_token,7,2,7.485534265690406
Qwen2.5-1.5B,delusion_acceptance,last_token,8,2,7.93965036444649
Qwen2.5-1.5B,delusion_acceptance,last_token,9,2,7.412361072416714
Qwen2.5-1.5B,delusion_acceptance,last_token,10,2,7.432564160351305
